RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
298944,WH46DBH500EVA3BESPOKE,AI LAUNDRY HUB,467518700011,30302F ,1278.95 ,12789.5,19199,39,SAMSUNG
299108,65QNED70ASAAWPUHD,4K FLAT QNED SMART 65P WEBOS,469968300018,109222 ,584.21 ,5842.1,8799,60,LG
299108,65UA8000PSBAWPUHD,4K FLAT LED SMART 65P WEBOS B,469968600019,109223 ,428.42 ,4284.2,6499,100,LG
299110,65UA8000PSBAWPUHD,4K FLAT LED SMART 65P WEBOS B,469968600019,109223 ,428.42 ,4284.2,6499,100,LG
299110,75UA8000PSBAWPUHD,4K FLAT LED SMART 75P WEBOS B,469968500012,110039 ,624.21 ,6242.1,9399,44,LG
298800,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,112,TCL
298800,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,74,TCL
298800,S55HSOUND,BAR 2 1CH,468925600017,20712C ,65.26 ,652.6,999,210,TCL
298800,Q65KSOUND,BAR 5 1CH,468925700014,20712D ,136.84 ,1368.4,2099,32,TCL
298800,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,340,TCL
298803,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,289,TCL
298803,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,353,TCL
298803,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,265,TCL
299114,50UA8000PSBAWPUHD,4K FLAT LED SMART 50P WEBOS B,469968800013,106155 ,288.42 ,2884.2,4399,300,LG
299114,86NANO80ASAUHD,4K FLAT NANOCELL SMART 85P,469497000014,111024 ,1281.05 ,12810.5,19299,30,LG
298802,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,411,TCL
298802,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,3,TCL
298802,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,84,TCL
299064,55UA8000PSBAWPUHD,4K FLAT LED SMART 55P WEBOS B,469968700016,10821D ,320.00 ,3200.0,4799,200,LG
299064,75QNED70ASCAWPUHD,4K FLAT QNED SMART 75P WEBOS,469968100014,110038 ,792.63 ,7926.3,11899,63,LG
298801,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,33,TCL
298801,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
298801,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,1,TCL
