RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
297190,OLED65C5PSAUHD,4K FLAT OLED SMART 65P,469497800010,109217 ,1522.10 ,15221.0,22899,2,LG
297190,65NANO80ASAAWPUHD,4K FLAT NANOCELL SMART WEBOS,469704600013,10921E ,592.63 ,5926.3,8899,50,LG
297190,65UA7500PSAAWPUHD,4K FLAT LED SMART 65P BLACK,470226500019,109226 ,448.42 ,4484.2,6799,24,LG
297190,75NANO80ASAUHD,4K FLAT NANOCELL SMART 75P,469496900018,11002E ,801.05 ,8010.5,12099,15,LG
297194,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,32,TCL
297194,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,188,TCL
297194,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,218,TCL
297212,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,353,TCL
297212,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,199,TCL
297212,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,15,TCL
297212,65A300PRO-ATCL,ART TV 65IN GOOGLE SMART,468923300018,1091FC ,673.68 ,6736.8,10199,2,TCL
297212,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,76,TCL
297212,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,19,TCL
297212,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,11,TCL
297213,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,389,TCL
297213,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,80,TCL
297213,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,62,TCL
297213,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,6,TCL
298244,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,496,TCL
298244,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,74,TCL
298244,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,87,TCL
298244,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,53,TCL
298244,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,46,TCL
298247,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
298247,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,27,TCL
298248,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
298248,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,27,TCL
298255,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,213,TCL
298255,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,94,TCL
298255,98P8K-AUHD,4K FLAT QLED SMART 98P GOOGLE TV BLA,469187500015,11101E ,881.05 ,8810.5,13299,50,TCL
298263,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,408,TCL
298263,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,234,TCL
298795,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,120,TCL
298795,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,218,TCL
298795,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,18,TCL
298798,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,144,TCL
298798,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,60,TCL
298798,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,50,TCL
