RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
297159,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,34,TCL
297159,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,30,TCL
297159,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,524,TCL
297161,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,76,TCL
297161,65A300PRO-ATCL,ART TV 65IN GOOGLE SMART,468923300018,1091FC ,673.68 ,6736.8,10199,2,TCL
297161,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,46,TCL
297161,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,5,TCL
297161,85C6K-AUHD,4K FLAT MINI LED ANDROID 98IN GOOGLE,468924600018,111015 ,712.63 ,7126.3,10699,5,TCL
297161,98P8K-AUHD,4K FLAT QLED SMART 98P GOOGLE TV BLA,469187500015,11101E ,881.05 ,8810.5,13299,44,TCL
297161,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,97,TCL
297164,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,300,TCL
297164,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,48,TCL
297164,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,218,TCL
297167,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,348,TCL
297167,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,28,TCL
297167,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,218,TCL
297194,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,32,TCL
297194,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,188,TCL
297194,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,218,TCL
297212,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,353,TCL
297212,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,199,TCL
297212,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,15,TCL
297212,65A300PRO-ATCL,ART TV 65IN GOOGLE SMART,468923300018,1091FC ,673.68 ,6736.8,10199,2,TCL
297212,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,76,TCL
297212,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,19,TCL
297212,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,11,TCL
297213,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,389,TCL
297213,65C6K-AUHD,4K FLAT MINI LED ANDROID 65IN GOOGLE,468923200011,1091FB ,388.42 ,3884.2,5899,80,TCL
297213,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,62,TCL
297213,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,6,TCL
